hours,attendance,result
1,89,fail
6,41,fail
1,79,fail
7,39,fail
2,30,fail
6,34,fail
3,63,fail
4,86,pass
5,50,fail
8,69,pass
1,98,fail
3,32,fail
5,77,pass
10,81,pass
10,78,pass
8,85,pass
9,42,fail
1,94,fail
10,78,pass
10,62,pass
6,79,pass
8,62,pass
3,38,fail
1,39,fail
2,40,fail
7,70,pass
8,56,fail
8,98,pass
7,79,pass
4,97,pass
2,70,fail
9,44,fail
2,32,fail
10,85,pass
1,82,fail
1,89,fail
7,73,pass
10,94,pass
1,72,fail
3,74,fail
1,45,fail
8,100,pass
1,60,fail
2,55,fail
5,64,pass
9,80,pass
2,69,fail
7,45,fail
7,51,fail
8,39,fail
2,51,fail
7,39,fail
6,69,pass
6,77,pass
1,53,fail
3,64,fail
7,84,pass
5,87,pass
2,56,fail
3,94,fail
5,61,pass
1,71,fail
8,66,pass
10,44,fail
4,67,pass
2,90,fail
5,48,fail
5,55,fail
6,60,pass
6,82,pass
3,34,fail
2,96,fail
4,72,pass
4,62,pass
1,81,fail
6,67,pass
5,99,pass
2,32,fail
4,32,fail
6,30,fail
9,91,pass
3,92,fail
10,88,pass
3,75,fail
4,78,pass
5,66,pass
7,67,pass
1,84,fail
4,66,pass
2,69,fail
8,72,pass
6,63,pass
1,39,fail
2,85,fail
1,90,fail
3,97,fail
8,32,fail
10,36,fail
3,57,fail
5,42,fail
9,30,fail
7,45,fail
2,58,fail
6,71,pass
1,50,fail
9,30,fail
3,91,fail
9,43,fail
7,61,pass
5,53,fail
2,54,fail
4,93,pass
7,47,fail
5,85,pass
9,66,pass
10,61,pass
2,49,fail
2,46,fail
8,65,pass
2,92,fail
3,52,fail
1,67,fail
3,78,fail
10,73,pass
8,82,pass
2,100,fail
7,61,pass
1,37,fail
7,33,fail
4,96,pass
1,71,fail
10,69,pass
5,76,pass
3,44,fail
4,97,pass
6,64,pass
2,94,fail
10,53,fail
3,85,fail
5,98,pass
5,43,fail
6,92,pass
5,65,pass
5,76,pass
6,79,pass
2,48,fail
10,31,fail
2,81,fail
7,45,fail
6,75,pass
5,62,pass
3,82,fail
4,51,fail
1,84,fail
3,55,fail
3,69,fail
9,48,fail
1,37,fail
6,38,fail
6,82,pass
1,70,fail
9,36,fail
2,57,fail
10,79,pass
4,36,fail
9,61,pass
7,92,pass
8,63,pass
2,51,fail
6,59,fail
5,37,fail
9,100,pass
6,47,fail
2,59,fail
6,89,pass
7,95,pass
10,85,pass
5,94,pass
8,62,pass
10,51,fail
2,46,fail
3,34,fail
10,30,fail
9,76,pass
7,48,fail
7,38,fail
6,32,fail
6,84,pass
10,32,fail
4,95,pass
6,34,fail
2,76,fail
7,71,pass
1,70,fail
5,81,pass
8,99,pass
1,51,fail
1,45,fail
10,51,fail
2,88,fail
4,53,fail
6,39,fail
10,47,fail
5,85,pass
8,77,pass
3,43,fail
7,53,fail
8,52,fail
8,92,pass
2,68,fail
1,53,fail
4,57,fail
6,31,fail
10,63,pass
2,60,fail
6,91,pass
4,50,fail
10,74,pass
7,66,pass
8,55,fail
2,54,fail
2,87,fail
2,85,fail
7,56,fail
9,73,pass
8,90,pass
3,81,fail
6,91,pass
10,31,fail
4,80,pass
6,54,fail
3,78,fail
7,57,fail
6,51,fail
2,49,fail
7,31,fail
9,60,pass
5,32,fail
2,33,fail
3,67,fail
7,40,fail
10,61,pass
4,49,fail
7,85,pass
8,59,fail
2,94,fail
1,89,fail
2,61,fail
4,64,pass
1,30,fail
5,69,pass
1,80,fail
1,50,fail
6,91,pass
6,69,pass
5,31,fail
10,84,pass
1,65,fail
3,36,fail
9,84,pass
8,52,fail
6,85,pass
1,94,fail
5,74,pass
1,40,fail
1,41,fail
8,43,fail
2,81,fail
2,38,fail
5,66,pass
1,61,fail
9,63,pass
4,92,pass
9,98,pass
4,85,pass
2,36,fail
6,44,fail
5,97,pass
9,59,fail
10,76,pass
10,33,fail
1,73,fail
3,90,fail
7,39,fail
1,61,fail
3,45,fail
4,64,pass
6,84,pass
5,100,pass
6,51,fail
2,52,fail
7,55,fail
8,64,pass
2,91,fail
10,71,pass
7,58,fail
2,77,fail
10,98,pass
4,94,pass
9,36,fail
9,43,fail
6,81,pass
4,69,pass
6,51,fail
10,97,pass
8,42,fail
7,74,pass
10,61,pass
2,98,fail
2,93,fail
10,65,pass
3,72,fail
7,41,fail
4,40,fail
2,51,fail
4,44,fail
8,39,fail
5,66,pass
10,63,pass
4,95,pass
6,50,fail
10,66,pass
6,56,fail
3,84,fail
6,76,pass
9,67,pass
1,42,fail
10,88,pass
6,79,pass
6,98,pass
7,67,pass
9,42,fail
3,91,fail
1,54,fail
6,35,fail
3,82,fail
1,37,fail
5,98,pass
3,45,fail
9,39,fail
5,74,pass
7,48,fail
5,80,pass
6,61,pass
8,91,pass
2,89,fail
1,35,fail
8,70,pass
8,62,pass
1,68,fail
9,77,pass
5,86,pass
1,72,fail
1,33,fail
7,79,pass
1,68,fail
2,68,fail
8,39,fail
10,70,pass
7,93,pass
10,62,pass
2,69,fail
1,70,fail
3,37,fail
3,32,fail
5,85,pass
3,86,fail
6,80,pass
8,100,pass
6,58,fail
5,70,pass
6,48,fail
6,61,pass
4,98,pass
7,89,pass
6,72,pass
3,86,fail
8,78,pass
2,67,fail
7,36,fail
2,77,fail
1,57,fail
6,56,fail
4,100,pass
5,85,pass
10,44,fail
4,84,pass
4,34,fail
7,82,pass
4,94,pass
4,93,pass
4,87,pass
7,42,fail
8,58,fail
8,86,pass
5,68,pass
1,47,fail
1,64,fail
7,87,pass
10,75,pass
7,53,fail
3,41,fail
2,43,fail
10,35,fail
9,88,pass
3,57,fail
4,77,pass
7,72,pass
7,69,pass
2,38,fail
5,35,fail
9,34,fail
7,74,pass
9,86,pass
4,84,pass
4,59,fail
5,67,pass
10,92,pass
3,95,fail
1,36,fail
3,88,fail
5,96,pass
10,45,fail
3,74,fail
2,56,fail
7,33,fail
3,38,fail
9,64,pass
9,50,fail
4,61,pass
3,33,fail
3,35,fail
5,43,fail
10,63,pass
5,91,pass
10,85,pass
6,48,fail
7,35,fail
5,100,pass
8,75,pass
10,93,pass
10,87,pass
1,34,fail
5,95,pass
4,70,pass
6,92,pass
7,34,fail
6,92,pass
3,34,fail
10,62,pass
4,38,fail
6,61,pass
2,74,fail
5,37,fail
7,61,pass
10,58,fail
4,90,pass
9,41,fail
2,47,fail
5,82,pass
9,35,fail
3,36,fail
6,81,pass
4,92,pass
10,41,fail
4,84,pass
8,84,pass
6,77,pass
1,35,fail
8,57,fail
1,66,fail
10,50,fail
3,100,fail
1,35,fail
8,61,pass
2,75,fail
7,67,pass
7,100,pass
10,45,fail
1,67,fail
3,56,fail
5,61,pass
2,44,fail
9,57,fail
3,65,fail
4,55,fail
5,71,pass
10,99,pass
8,48,fail
6,98,pass
6,81,pass
9,30,fail
3,100,fail
3,51,fail
4,63,pass
7,95,pass
9,88,pass
4,38,fail
3,43,fail
10,58,fail
5,96,pass
9,43,fail
6,60,pass
5,59,fail
7,79,pass
7,97,pass
2,100,fail
8,95,pass
3,49,fail
1,41,fail
7,60,pass
8,32,fail
9,97,pass
10,98,pass
7,100,pass
4,96,pass
8,69,pass
8,58,fail
5,89,pass
10,54,fail
10,31,fail
1,79,fail
9,78,pass
2,58,fail
2,82,fail
10,38,fail
8,47,fail
7,94,pass
10,30,fail
4,38,fail
3,74,fail
2,92,fail
2,34,fail
5,53,fail
7,81,pass
9,31,fail
7,94,pass
7,76,pass
3,79,fail
4,77,pass
2,85,fail
10,37,fail
1,59,fail
3,80,fail
10,93,pass
5,79,pass
8,58,fail
2,74,fail
4,36,fail
5,37,fail
7,57,fail
8,34,fail
8,43,fail
6,32,fail
6,41,fail
10,35,fail
10,79,pass
4,79,pass
8,84,pass
7,44,fail
10,84,pass
4,83,pass
5,51,fail
8,70,pass
9,41,fail
1,34,fail
8,69,pass
7,63,pass
5,53,fail
4,88,pass
10,63,pass
1,89,fail
3,84,fail
6,41,fail
2,94,fail
10,75,pass
4,89,pass
8,33,fail
9,92,pass
5,36,fail
6,69,pass
6,54,fail
10,39,fail
9,83,pass
6,43,fail
3,36,fail
3,47,fail
3,51,fail
1,69,fail
5,100,pass
7,54,fail
2,70,fail
6,36,fail
4,44,fail
3,74,fail
2,43,fail
10,88,pass
4,41,fail
9,54,fail
9,36,fail
2,36,fail
1,88,fail
5,82,pass
7,80,pass
6,39,fail
1,93,fail
6,51,fail
7,92,pass
5,45,fail
10,58,fail
4,60,pass
10,70,pass
4,58,fail
9,36,fail
1,48,fail
2,40,fail
9,84,pass
1,75,fail
7,94,pass
3,44,fail
10,42,fail
5,69,pass
2,65,fail
2,41,fail
7,72,pass
5,38,fail
9,92,pass
2,95,fail
1,37,fail
3,32,fail
2,49,fail
6,69,pass
2,82,fail
6,80,pass
2,73,fail
9,38,fail
8,58,fail
1,56,fail
8,68,pass
2,34,fail
10,89,pass
8,41,fail
3,71,fail
10,61,pass
10,96,pass
8,97,pass
5,81,pass
9,93,pass
9,40,fail
7,54,fail
1,98,fail
1,74,fail
6,90,pass
9,63,pass
5,49,fail
10,88,pass
1,56,fail
4,94,pass
8,66,pass
3,41,fail
10,90,pass
4,82,pass
6,57,fail
4,87,pass
3,36,fail
10,51,fail
4,38,fail
8,35,fail
4,81,pass
1,64,fail
8,86,pass
8,35,fail
9,85,pass
3,39,fail
8,46,fail
9,66,pass
5,68,pass
1,54,fail
1,78,fail
2,81,fail
7,86,pass
2,78,fail
3,92,fail
7,47,fail
7,78,pass
4,58,fail
4,42,fail
2,55,fail
2,48,fail
9,42,fail
10,32,fail
4,79,pass
5,100,pass
6,98,pass
4,77,pass
1,77,fail
8,36,fail
9,88,pass
7,97,pass
2,46,fail
4,99,pass
8,65,pass
10,61,pass
9,54,fail
8,32,fail
1,83,fail
6,71,pass
7,38,fail
9,40,fail
7,43,fail
6,62,pass
2,65,fail
5,65,pass
1,64,fail
2,71,fail
10,42,fail
2,77,fail
6,41,fail
6,44,fail
3,47,fail
3,61,fail
9,94,pass
9,67,pass
8,60,pass
6,39,fail
1,98,fail
5,87,pass
7,65,pass
6,53,fail
6,73,pass
10,56,fail
5,85,pass
2,47,fail
8,50,fail
7,62,pass
1,76,fail
1,96,fail
7,39,fail
2,50,fail
9,36,fail
7,88,pass
1,96,fail
